id,param_value,expected_regret,correct_arm,correct_arm_80,min_opt_gap,opt_mean,warmup,warmup_label
1,1,35.056,1.0,0.66,0.4,0.9,0,Warmup N: 0
2,1,30.561999999999998,1.0,0.36,0.35,0.85,0,Warmup N: 0
3,1,65.841,1.0,0.24,0.30000000000000004,0.8,0,Warmup N: 0
4,1,109.27,0.97,0.36,0.25,0.75,0,Warmup N: 0
5,1,199.75999999999993,0.88,0.19,0.19999999999999996,0.7,0,Warmup N: 0
6,1,117.594,0.91,0.18,0.15000000000000002,0.65,0,Warmup N: 0
7,1,153.803,0.79,0.09,0.09999999999999998,0.6,0,Warmup N: 0
8,1,146.00950000000014,0.55,0.06,0.050000000000000044,0.55,0,Warmup N: 0
9,1,374.79999999999984,1.0,1.0,0.4,0.9,1000,Warmup N: 1000
10,1,327.9710000000002,1.0,1.0,0.35,0.85,1000,Warmup N: 1000
11,1,281.27100000000024,1.0,1.0,0.30000000000000004,0.8,1000,Warmup N: 1000
12,1,234.58,1.0,1.0,0.25,0.75,1000,Warmup N: 1000
13,1,188.94799999999992,1.0,1.0,0.19999999999999996,0.7,1000,Warmup N: 1000
14,1,150.69750000000005,1.0,0.76,0.15000000000000002,0.65,1000,Warmup N: 1000
15,1,136.95999999999995,0.97,0.28,0.09999999999999998,0.6,1000,Warmup N: 1000
16,1,140.52250000000012,0.67,0.03,0.050000000000000044,0.55,1000,Warmup N: 1000
17,1,750.0,1.0,1.0,0.4,0.9,2000,Warmup N: 2000
18,1,656.25,1.0,1.0,0.35,0.85,2000,Warmup N: 2000
19,1,562.4999999999999,1.0,1.0,0.30000000000000004,0.8,2000,Warmup N: 2000
20,1,468.75,1.0,1.0,0.25,0.75,2000,Warmup N: 2000
21,1,374.99999999999994,1.0,1.0,0.19999999999999996,0.7,2000,Warmup N: 2000
22,1,283.1624999999999,1.0,1.0,0.15000000000000002,0.65,2000,Warmup N: 2000
23,1,207.884,1.0,0.66,0.09999999999999998,0.6,2000,Warmup N: 2000
24,1,162.91800000000012,0.63,0.03,0.050000000000000044,0.55,2000,Warmup N: 2000
25,11,30.571999999999996,1.0,1.0,0.4,0.9,0,Warmup N: 0
26,11,21.8855,1.0,1.0,0.35,0.85,0,Warmup N: 0
27,11,40.266,1.0,1.0,0.30000000000000004,0.8,0,Warmup N: 0
28,11,39.4525,1.0,1.0,0.25,0.75,0,Warmup N: 0
29,11,75.49199999999998,1.0,0.82,0.19999999999999996,0.7,0,Warmup N: 0
30,11,58.707,0.97,0.36,0.15000000000000002,0.65,0,Warmup N: 0
31,11,102.97699999999998,0.94,0.25,0.09999999999999998,0.6,0,Warmup N: 0
32,11,114.4875000000001,0.75,0.03,0.050000000000000044,0.55,0,Warmup N: 0
33,11,374.79999999999984,1.0,1.0,0.4,0.9,1000,Warmup N: 1000
34,11,327.95000000000016,1.0,1.0,0.35,0.85,1000,Warmup N: 1000
35,11,281.27100000000024,1.0,1.0,0.30000000000000004,0.8,1000,Warmup N: 1000
36,11,234.5725,1.0,1.0,0.25,0.75,1000,Warmup N: 1000
37,11,188.97199999999992,1.0,1.0,0.19999999999999996,0.7,1000,Warmup N: 1000
38,11,148.03800000000007,1.0,0.97,0.15000000000000002,0.65,1000,Warmup N: 1000
39,11,127.85199999999996,1.0,0.4,0.09999999999999998,0.6,1000,Warmup N: 1000
40,11,150.23750000000013,0.7,0.03,0.050000000000000044,0.55,1000,Warmup N: 1000
41,11,750.0,1.0,1.0,0.4,0.9,2000,Warmup N: 2000
42,11,656.25,1.0,1.0,0.35,0.85,2000,Warmup N: 2000
43,11,562.4999999999999,1.0,1.0,0.30000000000000004,0.8,2000,Warmup N: 2000
